event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
Undiscovered Chinatown Tour,{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com.    

",2014-07-05T10:30:00,2014-07-05T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
Children’s Concert Series,{'url': 'http://www.valleycultural.org'},"Children’s Concert Series at the Madrid Theatre introduces the world of arts and culture to children between the ages of 5 and 9 years old. The free program includes opera, puppetry, acting, dance, music, and artistry. Limited seating available.  

Concerts take place July 7, 14, 21, 28 & August 4

Call for reservations at 818-347-9938.  

",2014-07-07T10:00:00,2014-07-07T11:20:00,"{'longitude': '-118.60101888599968', 'human_address': '{""address"":""21622 Sherman Way"",""city"":""Canoga Park"",""state"":""CA"",""zip"":""91303""}', 'latitude': '34.20096360500048', 'needs_recoding': False}",Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Free"
Children’s Concert Series,{'url': 'http://www.valleycultural.org'},"Children’s Concert Series at the Madrid Theatre introduces the world of arts and culture to children between the ages of 5 and 9 years old. The free program includes opera, puppetry, acting, dance, music, and artistry. Limited seating available.  

Concerts take place July 7, 14, 21, 28 & August 4

Call for reservations at 818-347-9938.  

",2014-07-14T10:00:00,2014-07-14T11:20:00,"{'longitude': '-118.60101888599968', 'human_address': '{""address"":""21622 Sherman Way"",""city"":""Canoga Park"",""state"":""CA"",""zip"":""91303""}', 'latitude': '34.20096360500048', 'needs_recoding': False}",Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Free"
Children’s Concert Series,{'url': 'http://www.valleycultural.org'},"Children’s Concert Series at the Madrid Theatre introduces the world of arts and culture to children between the ages of 5 and 9 years old. The free program includes opera, puppetry, acting, dance, music, and artistry. Limited seating available.  

Concerts take place July 7, 14, 21, 28 & August 4

Call for reservations at 818-347-9938.  

",2014-07-21T10:00:00,2014-07-21T11:20:00,"{'longitude': '-118.60101888599968', 'human_address': '{""address"":""21622 Sherman Way"",""city"":""Canoga Park"",""state"":""CA"",""zip"":""91303""}', 'latitude': '34.20096360500048', 'needs_recoding': False}",Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Free"
Children’s Concert Series,{'url': 'http://www.valleycultural.org'},"Children’s Concert Series at the Madrid Theatre introduces the world of arts and culture to children between the ages of 5 and 9 years old. The free program includes opera, puppetry, acting, dance, music, and artistry. Limited seating available.  

Concerts take place July 7, 14, 21, 28 & August 4

Call for reservations at 818-347-9938.  

",2014-07-28T10:00:00,2014-07-28T11:20:00,"{'longitude': '-118.60101888599968', 'human_address': '{""address"":""21622 Sherman Way"",""city"":""Canoga Park"",""state"":""CA"",""zip"":""91303""}', 'latitude': '34.20096360500048', 'needs_recoding': False}",Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Free"
Children’s Concert Series,{'url': 'http://www.valleycultural.org'},"Children’s Concert Series at the Madrid Theatre introduces the world of arts and culture to children between the ages of 5 and 9 years old. The free program includes opera, puppetry, acting, dance, music, and artistry. Limited seating available.  

Concerts take place July 7, 14, 21, 28 & August 4

Call for reservations at 818-347-9938.  

",2014-08-04T10:00:00,2014-08-04T11:20:00,"{'longitude': '-118.60101888599968', 'human_address': '{""address"":""21622 Sherman Way"",""city"":""Canoga Park"",""state"":""CA"",""zip"":""91303""}', 'latitude': '34.20096360500048', 'needs_recoding': False}",Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Free"
Summer Movie in the Park in Wilmington,{'url': 'http://www.portoflosangeles.org'},"Enjoy a free family movie night in the park!

",2013-07-10T18:00:00,2013-07-10T22:00:00,,"Port of Los Angeles
",310-732-3508,free,"Culture & Community, Family Friendly, Free, Great Outdoors"
Outfest 2014: The Los Angeles LGBT Film Festival,{'url': 'http://www.outfest.org'},"Outfest is the oldest continuous film festival in Southern California and the region's largest gay and lesbian arts event, featuring more than 4,500 films and videos. Since its founding in 1982, Outfest has screened more than 4,000 highly diverse films and videos for an audience of more than half a million people.
 
Event times vary, please visit website for details.

",2013-07-10T00:00:00,2013-07-20T00:00:00,,Outfest,213-480-7088,$13 for most screenings,"Culture & Community, Fairs & Festivals"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on July 12 & 26

",2014-07-12T15:00:00,2014-07-12T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on July 12 & 26

",2014-07-26T15:00:00,2014-07-26T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. 

Live jazz, dining, and family activities begin at 5:30 pm, performances start at 7:30 pm.

This event takes place on July 12, 13 & 26

",2014-07-12T17:30:00,2014-07-12T21:30:00,,California Philharmonic,626-300-8200,"$20 - $98
","Culture & Community, Family Friendly, Fairs & Festivals, Great Outdoors"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. 

Live jazz, dining, and family activities begin at 5:30 pm, performances start at 7:30 pm.

This event takes place on July 12, 13 & 26

",2014-07-13T17:30:00,2014-07-13T21:30:00,,California Philharmonic,626-300-8200,"$20 - $98
","Culture & Community, Family Friendly, Fairs & Festivals, Great Outdoors"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. 

Live jazz, dining, and family activities begin at 5:30 pm, performances start at 7:30 pm.

This event takes place on July 12, 13 & 26

",2014-07-26T17:30:00,2014-07-26T21:30:00,,California Philharmonic,626-300-8200,"$20 - $98
","Culture & Community, Family Friendly, Fairs & Festivals, Great Outdoors"
Movies on the Green at Warner Park,{'url': 'http://www.valleycultural.org'},"Enjoy movies under the stars at Warner Park on a 30-foot screen with digital projection and surround sound. In addition, enjoy affordable food and drinks provided by local organizations. It is the perfect way to enjoy a summer evening under the stars.

This event takes place on July 12, 19 & 26

",2014-07-12T19:00:00,2014-07-12T22:00:00,,Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Great Outdoors, Free"
Movies on the Green at Warner Park,{'url': 'http://www.valleycultural.org'},"Enjoy movies under the stars at Warner Park on a 30-foot screen with digital projection and surround sound. In addition, enjoy affordable food and drinks provided by local organizations. It is the perfect way to enjoy a summer evening under the stars.

This event takes place on July 12, 19 & 26

",2014-07-19T19:00:00,2014-07-19T22:00:00,,Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Great Outdoors, Free"
Movies on the Green at Warner Park,{'url': 'http://www.valleycultural.org'},"Enjoy movies under the stars at Warner Park on a 30-foot screen with digital projection and surround sound. In addition, enjoy affordable food and drinks provided by local organizations. It is the perfect way to enjoy a summer evening under the stars.

This event takes place on July 12, 19 & 26

",2014-07-26T19:00:00,2014-07-26T22:00:00,,Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Great Outdoors, Free"
"2014 Bastille Day LA Festival
",{'url': 'http://www.bastilledaylosangeles.com'},"The official Bastille Day LA Festival will be celebrated in the heart of Los Angeles with French gastronomic delicacies and spectacular live entertainment. Come join and experience what thousands of people have been enjoying for the past 8 years, making this annual celebration one of the most well-attended community festivals in Los Angeles. 

",2014-07-13T12:00:00,2014-07-13T22:00:00,,Bastille Day Committee,323-656-6083,"$5, Free for children under 13","Culture & Community, Family Friendly, Great Outdoors, Fairs & Festivals"
